word	pos	approved	alternatives
contiguous	adj	n	adjacent
continue	v	y
continuous	adj	y
continuously	adv	y
contour	n	y
control	n	y
control	v	y
conventional	adj	n	standard
converse	adj	n	opposite
convert	v	n	change
convey	v	n	move;tell
cool	adj	y
cool	v	n	decrease
coordinate	v	n	synchronized
copy	n	y
copy	v	n	write;record
corner	n	y
correct	adj	y
correct	v	y
correction	n	y
correctly	adv	y
correctness	n	n	correct;correctly
correspond	v	n	agree;same;different
corresponding	adj	n	related
corrode	v	n	corrosion
corrosive	adj	n	corrosion
limitation	n	n	limit
limited	adj	n	small
linear	adj	y
linearly	adv	y
link	v	n	connect;attach
liquid	adj	y
liquid	n	y
list	v	n	record;show
listen	v	y
little	adj	n	small;short;not sufficient
little (a little)	adj	n	small quantity
little (a little)	adv	n	small
live	adj	y
load	v	n	install
local	adj	y
locally	adv	y
locate	v	n	find;engage;put
location	n	y
lock	v	y
log	v	n	record
long	adj	y
long (as long as)	conj	n	while
long (no longer)	adv	n	not...at this time;until...not
longitudinal	adj	y
longitudinally	adv	y
look	v	y
loop	n	y
loop	v	n	loop
loose	adj	y
loosely	adv	y
loosen	v	y
lose	v	n	decrease
lost	adj	n	decrease;not find
low	adj	y
lower	v	y
lowermost	adj	n	bottom
lubricate	v	y
lukewarm	adj	n	warm
magnetic	adj	y
magnetically	adv	y
main	adj	n	primary
maintain	v	n	keep;hold
maintenance	n	y
major	adj	n	primary
make	v	y
make certain	v	n	make sure
make sure	v	y
maladjusted	adj	n	incorrectly adjusted
malfunction	n	y
mandatory	adj	y
manipulate	v	n	move;adjust
manual	adj	y
manual	n	y
manually	adv	y
manufacture	v	n	make
many	adj	y
mark	n	y
mark	v	n	identify
mass	n	y
match	v	n	align;agree
mate	v	n	connect;engage;together
material	n	y
mating	adj	y
matt (matte)	adj	y
matter	n	n	material
maximum	adj	y
maximum	n	y
may	v	n	can;possibly
measure	v	y
mechanical	adj	y
mechanically	adv	y
mechanism	n	y
medical	adj	y
medium	adj	n	moderate
meet	v	n	engage;touch
melt	v	y
mention	v	n	give
mesh	v	n	engage
meteorological	adj	n	weather
method	n	y
mid	adj	n	middle
middle	adj	y
middle	n	y
mild	adj	n	weak
minimize	v	n	minimum
minimum	adj	y
minimum	n	y
minor	adj	n	small
minus	prep	y
miscellaneous	adj	n	other;all
misrigged	adj	n	incorrectly adjusted
missing	adj	y
mix	n	n	mixture
mix	v	y
mixture	n	y
mobile	adj	y
mode	n	y
moderate	adj	y
moderately	adv	y
modify	v	n	change
moist	adj	y
moisten	v	n	moist
momentarily	adv	y
momentary	adj	n	momentarily
monitor	v	y
moor	v	y
more	adj	y
more	adv	y
most	adj	y
most	adv	y
motion	n	n	movement
mount	v	n	install;attach;put
movable	adj	y
move	v	y
movement	n	y
much	adj	y
much	adv	y
multiply	v	y
must	v	y
name	n	y
near	adj	y
near	prep	y
nearly	adv	n	almost
necessary	adj	y
need	v	n	necessary
neither	adj	n	two...not
neither	pron	n	two...not
neutral	adj	y
neutralize	v	n	neutral
never	adv	n	do not
new	adj	y
next	adj	y
next	adv	n	then
next to	prep	n	adjacent to
no	adj	y
no	adv	y
noise	n	y
noisy	adj	n	noise
none	pron	y
nor	conj	n	not
normal	adj	n	usual;correct
normally	adv	n	usually;correctly
nose	n	y
not	adv	y
notch	n	y
note	v	n	record
notify	v	n	tell;contact;write
now	adv	n	at this time
number	n	y
obey	v	y
object	n	y
observe	v	n	monitor;see;obey
obstruct	v	n	catch;prevent
obstructed	adj	n	blocked;clogged
obstruction	n	n	blockage
obtain	v	n	get
roughness	n	n	rough
round	adj	n	circular
rounded	adj	y
route	n	n	routing
route	v	n	put;routing
routine	adj	n	usual
routing	n	y
row	n	y
rub	v	y
run	v	n	operate
running	adj	n	flush
safe	adj	y
safely	adv	y
safety	n	y
safety	v	y
safety-clip	v	n	lock;safety
safety-wire	v	n	lock;safety
same	adj	y
same	pron	y
sample	n	y
sample	v	n	sample
satisfactorily	adv	y
